tweet_no	tweet_id
1	1263039819325886467
2	1283842779135827971
3	1256941692017614849
4	1293089167568785409
5	1252279781372149766
6	1272884988770467841
7	1260568724584759300
8	1284010236546887682
9	1239148716956712960
10	1263354587303428096
11	1248794144954355713
12	1239844786267475970
13	1283645135356657664
14	1291717615061274625
15	1265216274566610944
16	1257958994913554436
17	1251199464393539586
18	1283831186914258946
19	1255092357856464902
20	1297079056052170754
21	1249359206164992000
22	1247950338990190592
23	1242023990018945025
24	1254270362528952321
25	1253585047279611907
26	1245630362497105925
27	1269942605883809792
28	1236415647854276609
29	1255520478749511688
30	1266827256271376385
31	1250807980800520199
32	1253631826255581184
33	1245038870284075009
34	1237842276832792578
35	1242073540154789890
36	1270962007647440896
37	1231857531955314688
38	1254681072564088832
39	1284018759255154688
40	1285612153614020609
41	1271422748208791554
42	1292430410304151552
43	1256532557673480192
44	1238923080006873090
45	1253559503183888384
46	1249390214696632320
47	1260973306649378830
48	1289527012659310597
49	1239228701147041792
50	1243214954326614018
51	1257666397175504897
52	1280424801383993345
53	1245696522706190337
54	1243219464507789313
55	1276185622429020162
56	1260829906054844416
57	1268194340536532993
58	1292371034126065665
59	1233109558115098626
60	1254178801325608960
61	1286915520843993089
62	1242396242472247296
63	1273141258094084096
64	1237804966225608711
65	1247056560901275649
66	1258342857448046592
67	1267120401102049281
68	1283733731975536640
69	1227899752093769728
70	1284066125949673474
71	1236759350645075970
72	1233454975042367489
73	1248596103920062465
74	1268430044784984064
75	1275741043678498818
76	1251758171523293190
77	1267480355596099584
78	1300006335052943365
79	1239953619392385026
80	1297862328906665984
81	1284746357144788992
82	1236639130429374464
83	1295664357150470144
84	1250312721158959110
85	1250381451629125637
86	1254646559800807424
87	1251953505700544518
88	1272033686549082114
89	1262987808081403905
90	1253314987067670528
91	1286214114919014400
92	1238040513120436225
93	1250687466908061700
94	1285572586710142976
95	1240686217244495872
96	1255513810523377669
97	1295617721619697665
98	1263135896162889730
99	1257965265406615554
100	1297053393614143489
101	1288376010149437440
102	1270662491970908160
103	1277566932628246529
104	1225692341836513281
105	1284383653229850624
106	1255192182279024641
107	1282349247908610049
108	1234894857652576256
109	1242836184017108993
110	1294557943954890753
111	1250791750257520642
112	1294181154711633920
113	1256109257453436929
114	1239126028469092352
115	1255436828041248769
116	1264473222373916673
117	1262348132999929856
118	1239289262299807744
119	1239895457704411142
120	1239106617922199552
121	1298150456166948864
122	1251084098283634690
123	1275442843910156288
124	1239397828683800576
125	1251966122020212740
126	1258281358977314827
127	1252312241350889476
128	1293893871513083905
129	1271019867634905089
130	1273205969435144192
131	1243498216496168960
132	1245593124547596288
133	1250325228409909248
134	1267705459416367104
135	1259510580437712897
136	1283650440358498304
137	1240312685100703746
138	1293264006061469696
139	1258082064211103744
140	1293208689843806211
141	1288456748609806337
142	1249003140084621317
143	1271048370547822593
144	1262085989188714496
145	1240183298799865856
146	1259050805350596614
147	1287064671959355394
148	1269265032627359744
149	1283295481913683969
150	1253032541197664257
151	1287582140356386817
152	1251609890537312258
153	1276400406877351936
154	1272194593640112134
155	1289824504060018688
156	1281274193133408259
157	1292707085407444992
158	1265684922250997765
159	1259006923157966848
160	1240580918013825025
161	1284775086407536641
162	1254377490094723073
163	1239459930245136384
164	1274593889333194753
165	1249319911438069760
166	1241859935748657153
167	1240631662444232704
168	1266345900772917249
169	1255765213133094915
170	1239240239455129600
171	1258431632677232640
172	1297399241338433536
173	1240014293195776008
174	1239061352091734016
175	1249964800089698306
176	1242344617640673280
177	1266750966780424192
178	1251362134019018753
179	1300424130706190336
180	1295660848225099777
181	1260188303392997376
182	1298264377150201858
183	1276400335502917633
184	1224665940870213634
185	1274984566067871744
186	1232966792349388800
187	1258301110869282817
188	1271713067995447297
189	1232218428527738880
190	1294559868851048448
191	1285467125163921408
192	1247431954108231680
193	1261211339692924928
194	1283707505592471553
195	1283705470943989760
196	1259007236011167745
197	1254684292954947585
198	1247844936977973249
199	1275370691492220931
200	1260508108398395392
201	1263754034382503936
202	1261182157747298309
203	1286332122727317504
204	1240528439058325507
205	1274207928703160320
206	1248698438440620032
207	1239840317119123456
208	1255494495732469764
209	1243816403985141760
210	1269896178570858496
211	1265544184452329474
212	1297858302819401729
213	1273596998512410625
214	1264122232571342851
215	1236593818025242624
216	1277556920002293761
217	1270006777971724291
218	1283712802717339651
219	1249921092657037314
220	1256137558897102849
221	1253400861809623040
222	1272424924389531648
223	1275068302235074562
224	1296460931061481474
225	1287646836644360194
226	1275596798875361284
227	1245617872748990471
228	1297797711010377728
229	1285828316965019650
230	1241401741364559872
231	1244143575048151040
232	1298002613745659904
233	1248526815985106946
234	1288008667346993152
235	1250346805000204289
236	1261871732870307846
237	1258690554784894976
238	1279285115563229186
239	1251747295747608577
240	1294158848190746624
241	1281520352250691586
242	1271048372540112901
243	1246724372074770434
244	1260872822697725952
245	1249031560889802752
246	1258267233379389442
247	1271111185686028290
248	1273568737594159105
249	1247766175271936001
250	1272056179280293889
251	1253355867333898240
252	1296457174663782402
253	1239134379290562561
254	1258518887139643393
255	1243414960811565062
256	1238134104807391232
257	1237278085894098944
258	1270662500812554242
259	1254646465122775045
260	1249228774069198849
261	1265508162632855553
262	1276187289971032066
263	1274645647656914944
264	1282594424279764995
265	1273900205121900544
266	1240185880335261696
267	1280420534178766848
268	1255517706188709888
269	1249579324094722048
270	1284231529045123072
271	1254791778705854465
272	1240564589399609349
273	1250379787169865728
274	1297868690671702018
275	1280835666323148800
276	1250417720740306947
277	1236554782241959936
278	1253209719570915328
279	1232224179027685376
280	1246386777776099329
281	1281545949035339776
282	1240840722863083520
283	1239274009956671488
284	1262210386708832256
285	1270228513346539521
286	1272788892958240768
287	1259718950696386560
288	1239074644721876993
289	1258338444683722753
290	1262792643572117504
291	1298270304561553414
292	1245984755545509889
293	1300375907169906693
294	1251076188673642497
295	1240207613570224129
296	1285105310621937670
297	1254332329516023808
298	1249955662018347010
299	1257289471004942338
300	1268818980808142848
301	1241451611228188672
302	1234563334986489858
303	1267348049044570112
304	1289191947244994561
305	1253214095085633537
306	1249599465985650689
307	1283478741155545089
308	1255112163615739906
309	1258343303466176512
310	1292801686206132227
311	1287584062236954624
312	1254067170776092674
313	1248552730467106816
314	1245700417733963778
315	1245727042852868098
316	1297747642093641728
317	1245292329235369984
318	1263342332243574785
319	1243495688488574979
320	1292493329771495424
321	1252104930875359237
322	1260494768339025920
323	1273831100058677249
324	1275010785010315266
325	1270584126257725442
326	1236437955738247171
327	1246689753350778882
328	1264627231017533440
329	1277215853306576897
330	1248528187006554112
331	1258745268226359296
332	1250824604089794560
333	1242537124345384965
334	1268076281393971200
335	1280442308123676674
336	1247537144882548736
337	1256258429603262465
338	1243099394850914304
339	1290613858193813504
340	1257985449160773633
341	1268407135366524929
342	1247591280995184641
343	1257216381596164096
344	1239954772653797378
345	1248227047815536643
346	1259005323244953600
347	1233757827430322182
348	1271744470212542464
349	1253911573481115649
350	1263461386165895168
351	1263402480932708353
352	1243260445416394752
353	1256836094404046851
354	1250498410161098752
355	1260148962880901120
356	1256195303151198208
357	1270994429843779586
358	1276055387444215808
359	1243235082262831104
360	1250001096409579526
361	1247340040298147840
362	1246614379858182145
363	1265616899246895105
364	1292436699612696577
365	1247536892117020677
366	1248129823425298433
367	1263750588006838272
368	1276083998389932032
369	1283343456321011713
370	1247775458151682049
371	1265154068344905728
372	1288816177263894529
373	1249807462368251905
374	1284383991953592320
375	1285821303119908865
376	1248508551749918721
377	1270319735843012610
378	1280020764272533506
379	1276269504692191237
380	1248909633005260800
381	1291293043325317121
382	1251144639131746310
383	1254341962221707264
384	1256462248970784768
385	1250723908585762818
386	1272952239888502790
387	1244245570841174018
388	1253788687814492167
389	1290903354382704640
390	1261212674941161473
391	1234009147672317952
392	1285489429616918529
393	1248223909733978114
394	1268970741225132043
395	1251139931902218240
396	1239988667927728131
397	1293233955152564225
398	1239147373487632384
399	1245985392941301761
400	1288717980323414016
401	1299544583672659972
402	1236585418289790976
403	1274568111442653184
404	1254773821736804353
405	1258770328748265478
406	1244900017271422976
407	1242425943366537218
408	1259728651760873472
409	1287730793276735489
410	1236609799766388737
411	1296402079582433280
412	1273526949818896385
413	1244136810604871687
414	1292901469184811008
415	1285237342547124230
416	1253207180918116352
417	1247809971527524352
418	1250742612581023744
419	1280782854692241409
420	1241313937146236928
421	1271060059330678784
422	1271111188722696193
423	1252849723037192192
424	1284020015365120000
425	1248555069416456193
426	1244528163474079744
427	1245056137168400396
428	1293859527171940352
429	1278585725143986176
430	1274910451856560131
431	1249462272646406145
432	1289773234762571776
433	1254408950042316801
434	1253577310063779840
435	1242939388541177863
436	1240628863895552002
437	1275048404779859974
438	1255790418563936256
439	1272442243979362304
440	1292900447259439108
441	1245026881310806022
442	1242777375953338374
443	1253011501608288256
444	1237386049837363200
445	1271369153597902856
446	1261571840507383813
447	1255123578355400706
448	1262750734098952193
449	1252613800957743104
450	1245986073702019077
451	1266081680282001409
452	1261216247171239936
453	1256205846113128449
454	1257490803846414338
455	1253599854309322753
456	1248919293196206080
457	1270622056821010433
458	1260754043066032128
459	1249779545307107328
460	1273276725468835840
461	1278432859380944898
462	1249403160596226048
463	1294606068417536001
464	1247500754811830272
465	1248889543241146369
466	1270358858557468674
467	1272477688037548032
468	1264125002917478400
469	1275085225308106754
470	1271319070009249793
471	1254027414730088448
472	1245338410874740737
473	1249355576871735296
474	1248574832242982912
475	1250390215056859136
476	1258715862237921280
477	1245270327434924032
478	1260545308414574593
479	1242734635718754308
480	1298875620303265792
481	1247901415990677506
482	1262987872342286336
483	1236709473512718338
484	1240954330313830400
485	1282416496870854657
486	1250307951736180743
487	1300343579714433024
488	1260501225742745601
489	1273657292664328192
490	1246429015524679682
491	1281498398542241792
492	1284751727489671168
493	1291600304912371713
494	1231180173774553088
495	1294178656743555072
496	1250062900968017922
497	1250737480296529922
498	1277800777243910146
499	1249272365252374529
500	1290181907892731904
501	1253634688419323905
502	1284745848002359297
503	1278705532040286209
504	1255773105215111170
505	1259831362263146502
506	1289197894650789890
507	1253684196238860288
508	1264485054807289856
509	1242078184830615553
510	1292087564195823624
511	1234072121564893184
512	1274422044499873792
513	1242033934948499456
514	1262751753092489218
515	1247788779445706765
516	1292257728610668544
517	1245579816750870535
518	1298896747486355456
519	1258318768532570112
520	1275801252388130816
521	1250791116275953669
522	1278275992843419648
523	1254491451528011782
524	1238369208662208512
525	1236635089943121920
526	1274607233783836672
527	1245336724689113088
528	1287327439199309826
529	1272789597324546048
530	1293448317960179718
531	1296110642219356160
532	1250369256094666753
533	1248145961647517696
534	1266254486688825346
535	1270322669192445959
536	1292443869674721281
537	1271513824823304192
538	1257960906560016384
539	1252510027371499520
540	1253262245523570688
541	1272123449876590600
542	1256253478177067009
543	1250083452717842432
544	1265302913192263680
545	1294141498586312704
546	1296414043989774338
547	1275405753319391232
548	1270189249179136001
549	1236996768610516994
550	1249637185827090433
551	1250674786742697985
552	1279067451360247810
553	1278179151166480391
554	1255436091076808705
555	1286589202231103488
556	1243508691946614786
557	1258744844731719683
558	1250759945496211456
559	1256611889422962690
560	1300362659813036033
561	1275050612623843328
562	1295421653808226308
563	1257918517581475842
564	1225148151667077120
565	1225717727131729920
566	1251447968596664321
567	1287268925017862145
568	1251076943136600064
569	1244864873579909120
570	1272842735788179462
571	1280009920453251072
572	1290176598151319552
573	1260482949478301703
574	1250043518279696390
575	1295080920521867266
576	1232150040992473088
577	1242309035262648322
578	1257289923138392065
579	1275500526113894403
580	1268438933614071808
581	1260935566708760586
582	1263489420562399239
583	1278216929887608832
584	1285135999895580678
585	1248347148439207938
586	1269895635811139584
587	1254668602457968643
588	1246493323302506498
589	1247861370856656898
590	1245970626273251328
591	1247532044768268293
592	1282601607344132096
593	1249932904282624000
594	1294580501483683840
595	1270604592934510592
596	1272093933217218560
597	1250025133466685443
598	1284759885956218881
599	1239620168642433025
600	1258367251511742465
601	1237124011089375232
602	1251384747701547010
603	1270378642162540546
604	1260453479845429248
605	1255221456407052292
606	1252164140828897280
607	1245223310192857089
608	1287702470328754176
609	1235554465056354306
610	1245413570768232451
611	1268128622101123081
612	1238037191902756864
613	1254309738361184257
614	1284890723121332224
615	1271701342948655104
616	1279080930330570754
617	1260275079147147264
618	1232631203028705281
619	1280817565464514560
620	1270946452869652481
621	1263467833528369153
622	1259063591300468737
623	1263731309773537280
624	1271712408956833792
625	1262603268812935168
626	1288886430987628544
627	1275707231745564683
628	1295232852905222145
629	1274807510139121674
630	1236895042788380672
631	1248485731959336962
632	1257349080390479872
633	1249688524363894784
634	1240675014824919042
635	1258299726170128384
636	1293121801573236737
637	1292032205410230273
638	1256473570072502273
639	1263365262826524673
640	1281227762716549120
641	1229344337848422400
642	1257532987610222592
643	1225696319089434624
644	1277847796541001729
645	1291752257122426883
646	1258310105394749440
647	1271715186026504195
648	1299335025272520704
649	1265940112707407873
650	1275773340800684032
651	1257389820088852481
652	1275341118155231233
653	1253221757240164352
654	1260616517949030401
655	1265156837915099137
656	1239992198495600640
657	1252182148351737856
658	1278590218208190464
659	1277839233420574720
660	1255755535976222720
661	1271728263405199360
662	1254734142132170755
663	1278595687865823232
664	1245606141674979329
665	1253761646281064448
666	1247161756046090240
667	1237133130642993152
668	1271393062451851264
669	1260087800227119104
670	1269205004533071872
671	1249799657129213953
